Date,AAPL,MSFT,AMZN,GOOG
2020-01-02,72.77660582997152,153.4282456163035,94.90049743652344,68.18681335449219
2020-01-03,72.77172916472097,152.68370535175205,94.30999755859376,68.43940351728152
2020-01-06,72.62165386110323,151.87230794316667,95.18450164794922,69.66345923216974
2020-01-07,72.84923143823697,152.4164068417858,95.69450378417967,69.92153470711604
2020-01-08,73.70627127642481,153.49510448810574,95.5500030517578,70.33751521494523
2020-01-09,75.15648731833909,154.85058515825207,95.89099884033205,71.17597625297427
2020-01-10,75.69879404161257,155.8051735619528,95.34700012207033,71.48784974028622
2020-01-13,76.76405445807666,155.89106273635204,94.9000015258789,71.81366484523728
2020-01-14,76.88511195829709,156.16790019811782,94.35549926757812,71.8709640363411
2020-01-15,76.3839404992497,156.49243609343492,93.94300079345705,71.77879789678663
2020-01-16,76.43236486391163,158.68798178601898,94.27950286865234,72.27301191223528
2020-01-17,77.16835535095495,159.8620979437721,94.33200073242188,73.76011367358568
2020-01-20,77.16835535095495,159.8620979437721,94.33200073242188,73.76011367358568
2020-01-21,77.23614144709862,160.54937000352857,94.7135009765625,74.22492509167162
2020-01-22,77.4710093927943,159.88116096936955,95.125,74.75799134476836
2020-01-23,77.3668937772688,159.22250087718146,94.4990005493164,74.4052768729522
2020-01-24,78.2796239983564,159.91935335669822,94.74949645996094,74.44015119797305
2020-01-27,75.48090092368226,155.95788658346538,92.0500030517578,71.56955866813779
2020-01-28,77.08604612277858,158.229749659442,92.90550231933594,72.47726605072009
2020-01-29,79.37392820388496,161.0839104943588,93.7375030517578,72.94258029676281
2020-01-30,78.46362551493233,166.14317230881892,93.64350128173828,72.49967445504653
2020-01-31,78.1222655759737,164.56813798410553,102.78600311279295,73.21807678829367
2020-02-03,75.89731214570682,166.57273484253994,102.4250030517578,74.04657296301339
2020-02-04,77.3862719133486,172.43378968983822,102.98999786376952,73.10199650551328
2020-02-05,78.62585099313237,175.83207759357578,103.5510025024414,72.96449562114519
2020-02-06,78.73720276650342,175.46933477716024,102.81500244140624,73.81042993755283
2020-02-07,78.48238543817546,177.19710768250593,104.92649841308594,73.9942677344084
2020-02-10,78.0334243774414,180.26126392824392,106.77999877929688,75.17149956935405
2020-02-11,78.60373238920275,182.03680069987925,109.29750061035156,76.21771113263144
2020-02-12,79.40943007689862,177.40705821012114,109.0124969482422,75.74043633057408
2020-02-13,79.16674472243865,177.76984376399173,108.51399993896484,76.02191687395778
2020-02-14,79.10851777495836,176.98709678584612,107.9520034790039,75.72797967828164
2020-02-17,79.10851777495836,176.98709678584612,107.9520034790039,75.72797967828164
2020-02-18,77.59660579717271,179.17306076378034,108.30349731445312,76.25158520613671
2020-02-19,78.76632223582008,180.12189205359857,109.25499725341795,76.2605518097851
2020-02-20,78.78575023333428,179.23172105937135,108.8395004272461,76.07770834757048
2020-02-21,77.76650347779221,175.6423175383204,107.22750091552734,75.27462206552566
2020-02-24,73.8181119648714,167.0755587186096,101.96499633789062,71.55959279941615
2020-02-25,73.41769559790279,167.35310504591126,101.7300033569336,71.58300697779833
2020-02-26,72.28923357582319,165.84079671755148,100.7334976196289,70.42819845561333
2020-02-27,69.40621629434781,159.87756226966422,98.75,68.2226873655206
2020-02-28,67.56426328843753,156.69974059416424,94.48799896240234,66.88005259105421
2020-03-02,73.15314706398571,165.51533756180737,97.72550201416016,69.1229231286208
2020-03-03,73.77442519005979,167.50626337555664,99.81649780273438,70.15518082920593
2020-03-04,73.62880458228122,163.39042767558934,98.9000015258789,68.88927512353104
2020-03-05,72.69450423193115,163.5531294844052,98.03600311279295,67.4370414491301
2020-03-06,70.57590748684923,156.12546214910608,95.5435028076172,64.90222218354712
2020-03-09,67.48661751740467,150.99496265942608,93.13849639892578,62.4102598340368
2020-03-10,69.51297346708441,154.13448030155593,94.7135009765625,63.56208346017073
2020-03-11,68.24620108036899,150.9470862685925,93.56600189208984,62.61949838943698
2020-03-12,65.52333888472222,146.8982192378837,88.25,59.22281313910036
2020-03-13,67.93071607578169,154.97681406872138,89.31549835205078,60.500682240290445
2020-03-16,62.87327957704444,142.95468024638834,87.97250366210938,57.06662365270183
2020-03-17,62.51653302875141,141.18383971786494,92.88899993896484,56.09664189269421
2020-03-18,60.66975488014331,139.7480847719235,92.08300018310548,55.04994075985991
2020-03-19,61.35896164078844,143.72038128798528,97.25,57.42233951228538
2020-03-20,61.11386300197094,140.80099857992752,97.8499984741211,56.71838820983278
2020-03-23,55.45215566699075,134.55061142383002,95.97000122070312,53.152816591676384
2020-03-24,60.10917855165599,143.1939544165174,97.75,56.46182182723558
2020-03-25,62.671868780258336,147.72140631630424,97.51300048828124,57.1014970074779
2020-03-26,62.77622003802829,149.95157617905008,97.82450103759766,58.3624334086797
2020-03-27,62.09427759244869,148.257433486755,96.989501953125,57.34461915062074
2020-03-30,62.0093475048291,153.72287937037808,98.68150329589844,57.34213242939722
2020-03-31,63.70081709485802,157.72392705769573,99.6510009765625,58.458083824910496
2020-04-01,60.35912091217952,150.99496967051107,97.2480010986328,56.26702721110004
2020-04-02,59.49275506292741,148.8221222050345,96.37650299072266,55.93573095399749
2020-04-03,59.62623930857482,150.64080069189777,96.31649780273438,55.73744511904495
2020-04-06,63.85125642014358,159.37024249997808,99.9260025024414,59.32245290132051
2020-04-07,65.93589399470639,162.7203949496014,101.78600311279295,60.818529302753255
2020-04-08,64.88509036892265,159.53299367239637,102.1999969482422,60.52558895059071
2020-04-09,65.54032952455171,160.20301667185575,102.6500015258789,60.87880693991357
2020-04-10,65.54032952455171,160.20301667185575,102.6500015258789,60.87880693991357
2020-04-13,66.42125839971293,158.48009619305355,109.0,60.50666206471668
2020-04-14,69.95223619410436,166.30980949089667,114.5999984741211,63.55709820762928
2020-04-15,69.48628092008256,166.13750115848333,116.6685028076172,63.52521443511321
2020-04-16,69.94010189303526,169.68865150302491,123.0500030517578,63.4380295511721
2020-04-17,69.63674726381512,172.29214685003413,120.0,64.26702585267132
2020-04-20,68.35781862849281,171.09569728029905,122.2490005493164,63.6104093257928
2020-04-21,67.28275253901889,166.23323015638763,121.41549682617188,62.27425213481551
2020-04-22,67.4404966317663,166.54908705362303,119.6999969482422,63.76285379905656
2020-04-23,68.37483769193324,167.56373571044148,121.21099853515624,64.17486233966723
2020-04-24,68.68058478279482,167.0851433131064,121.02149963378906,63.65474872324669
2020-04-27,69.05190579194252,169.3249203646585,122.24400329589844,64.47128575857568
2020-04-28,69.36494515545422,168.14758096614784,118.6750030517578,64.00597434812428
2020-04-29,70.29681705834746,170.07152431727428,119.59449768066406,67.76185314940159
2020-04-30,71.47623056457492,172.67501046944872,123.75,67.25618653997351
2020-05-01,72.56103087905444,170.99040583781405,118.12200164794922,67.327435005306
2020-05-04,71.27241844220069,171.3349758174979,116.3489990234375,65.98430505914773
2020-05-05,73.04638718577591,175.78585325867564,117.5500030517578,68.30289816133721
2020-05-06,73.58998507405805,176.3123087755195,117.87249755859376,68.18731999160298
2020-05-07,74.05837857305957,176.64733872911614,118.8000030517578,68.55149783447298
2020-05-08,75.51933164317072,177.07804794901972,119.36199951171876,69.57977176792713
2020-05-11,77.1496439064148,179.480577895145,120.9834976196289,70.52085390400352
2020-05-12,77.79207364909227,179.0307054211164,120.9499969482422,70.46106910899933
2020-05-13,76.88201322973275,176.16874304424806,120.38500213623048,69.01631280049347
2020-05-14,75.38305384243762,172.9526058186347,119.56849670410156,67.6233591363203
2020-05-15,74.92313414173562,179.04985531053515,120.5500030517578,68.48075120129604
2020-05-18,77.01585284356766,178.2266669099593,121.6500015258789,69.38647134899308
2020-05-19,77.50736817025115,178.60956095328046,124.25,69.37301472678409
2020-05-20,77.75069971271533,178.38711523926915,125.00050354003906,70.34648942602318
2020-05-21,78.08406952411508,179.17418700775042,126.27249908447266,70.56718559705264
2020-05-22,77.6801225366079,177.05293154116515,123.49250030517578,70.59408566129582
2020-05-25,77.6801225366079,177.05293154116515,123.49250030517578,70.59408566129582
2020-05-26,78.89925602718259,179.01098721848516,123.0999984741211,71.99451473967798
2020-05-27,77.55359582351838,174.68211801691652,120.6790008544922,71.01008594637463
2020-05-28,78.70457981685169,176.75538700493465,121.84850311279295,71.96213022057283
2020-05-29,78.14734015890691,176.87055553063638,122.11849975585938,71.5770341183726
2020-06-01,78.43933305662227,175.65154461123888,123.84649658203124,71.81865051858213
2020-06-02,78.70456426226943,177.57123051143805,123.67649841308594,71.88940175563248
2020-06-03,79.37619506332315,178.47349013654497,124.4000015258789,72.18881201214307
2020-06-04,79.23505835292487,178.37751247051122,125.3769989013672,71.80570529874512
2020-06-05,80.72670465644849,180.19160827140416,124.43250274658205,72.05379744790729
2020-06-08,81.17688523826865,180.97868322299243,126.5,72.1883108306279
